City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,saint-pierre,-21.3393,55.4781,24.82,78,20,2.06,RE,1732566722
315,bhimunipatnam,17.8833,83.4333,20.58,77,100,3.03,IN,1732566723
316,asau,46.4333,26.4,0.02,89,0,1.9,RO,1732566725
317,fort mcmurray,56.7268,-111.381,-15.23,85,100,3.6,CA,1732566726
318,cherrapunji,25.3,91.7,9.56,76,12,2.39,IN,1732566533
319,bandon,51.7469,-8.7425,4.77,81,67,1.81,IE,1732566728
320,zambezi,-13.5432,23.1047,19.33,91,71,1.02,ZM,1732566729
321,kourou,5.1552,-52.6478,28.53,71,53,3.32,GF,1732566559
322,buala,-8.145,159.5921,28.74,75,62,2.68,SB,1732566731
323,vanimo,-2.6741,141.3028,25.57,89,100,1.88,PG,1732566732
324,maintirano,-18.0667,44.0167,26.38,75,9,4.01,MG,1732566734
325,port blair,11.6667,92.75,28.02,83,40,2.57,IN,1732566728
326,novodvinsk,64.4165,40.8122,1.86,89,100,7.13,RU,1732566737
327,firuzabad,28.8438,52.5707,14.87,62,98,1.53,IR,1732566738
328,new norfolk,-42.7826,147.0587,14.28,70,53,0.7,AU,1732566739
329,ciales,18.3361,-66.4688,30.27,82,98,3.37,PR,1732566740
330,acapulco de juarez,16.8634,-99.8901,29.9,70,20,3.09,MX,1732566725
331,cooper's town,26.8667,-77.5167,23.07,68,95,3.44,BS,1732566684
332,ban dung,17.699,103.2596,21.26,79,41,2.8,TH,1732566744
333,hafnarfjordur,64.0671,-21.9377,-7.07,68,20,1.03,IS,1732566745
334,san juan de miraflores,-12.1629,-76.9635,21.29,81,87,4.64,PE,1732566746
335,wenchang,30.904,118.4887,6.11,61,92,4.61,CN,1732566748
336,tumpat,6.1978,102.171,25.01,100,40,2.06,MY,1732566749
337,sultanpur,26.2667,82.0667,17.59,46,0,2.2,IN,1732566750
338,el nido,11.1858,119.3956,25.64,93,80,3.94,PH,1732566751
339,n'zeto,-7.2312,12.8666,26.31,86,100,2.69,AO,1732566753
340,aripuana,-9.1667,-60.6333,27.43,76,96,3.65,BR,1732566524
341,buulobarde,3.8538,45.5674,25.81,79,56,5.1,SO,1732566755
342,udachny,66.4167,112.4,-20.22,94,100,8.86,RU,1732566756
343,mecca,21.4267,39.8261,24.5,69,0,1.66,SA,1732566757
344,paoua,7.2427,16.4406,21.62,33,42,1.45,CF,1732566758
345,yuzhno-kurilsk,44.0306,145.8556,1.35,69,10,6.16,RU,1732566759
346,chauk,20.8833,94.8167,20.56,74,72,1.89,MM,1732566760
347,filadelfia,39.9523,-75.1638,14.44,53,75,3.6,US,1732566708
348,ippy,6.2679,21.2247,23.98,43,76,0.6,CF,1732566762
349,burutu,5.3509,5.5076,27.37,76,91,2.41,NG,1732566764
350,wenshui,28.4506,106.5267,5.22,95,100,0.83,CN,1732566765
351,cidade velha,14.9167,-23.6167,25.26,69,20,6.17,CV,1732566766
352,sao francisco,-15.9486,-44.8644,23.2,82,83,1.93,BR,1732566767
353,acarau,-2.8856,-40.12,26.8,72,2,6.32,BR,1732566768
354,jiexiu,37.0244,111.9125,-2.59,33,0,4.86,CN,1732566769
355,thunder bay,48.4001,-89.3168,-1.01,93,100,2.06,CA,1732566770
356,kalemie,-5.9475,29.1947,20.94,86,24,1.42,CD,1732566773
357,balkanabat,39.5108,54.3671,14.91,45,45,1.86,TM,1732566774
358,gudauta,43.1055,40.6207,9.2,83,100,6.27,GE,1732566775
359,hakkari,37.5833,44.1667,3.88,81,75,3.09,TR,1732566776
360,port moresby,-9.4431,147.1797,23.68,94,20,1.03,PG,1732566777
361,modbury,-34.8333,138.6833,22.73,79,0,4.63,AU,1732566778
